Name,Score,User Score,Genre Keywords,Rating,Publisher
Enslaved Odyssey to the West,80,7.4," Action Adventure Modern General Modern ",T,Namco Bandai Games
Enslaved Odyssey to the West  Pigsys Perfect 10,79,7.6," Action Adventure Modern General Modern ",T,Namco Bandai Games
Enter the Gungeon,82,7.5," Action General ",E10+,Devolver Digital
Epistory  Typing Chronicles,74,8," Action Adventure General ",NOT PROVIDED,Plug In Digital
Escape from Monkey Island,84,8.2," Adventure Fantasy Third-Person ",T,LucasArts
Escape Goat 2,76,8," Action Miscellaneous Puzzle Platformer 2D ",NOT PROVIDED,MagicalTimeBean
escapeVektor,75,7.6," Miscellaneous Puzzle Action Puzzle Action ",E,Nnooo
escapeVektor Chapter 1,81,7.2," Miscellaneous Action Adventure Puzzle Action Modern ",E,Nnooo
ESPN College Hoops,80,6.6," Sports Traditional Basketball Sim ",E,Sega
ESPN College Hoops 2K5,86,8.1," Sports Traditional Basketball Sim ",E,Sega
ESPN Major League Baseball,78,8.3," Sports Traditional Baseball Sim ",E,Sega
ESPN MLS ExtraTime,77,0," Sports Traditional Soccer Sim ",E,Konami
ESPN NBA 2K5,83,7.5," Sports Traditional Basketball Sim ",E,Sega
ESPN NBA Basketball,87,8.2," Sports Traditional Basketball Sim ",E,Sega
ESPN NFL 2K5,90,8.3," Sports Traditional Football Sim ",E,Sega
ESPN NFL Football,91,8.5," Sports Traditional Football Sim ",E,Sega
ESPN NHL 2K5,86,8.1," Sports Traditional Ice Hockey Sim ",E,Sega
ESPN NHL Hockey,90,7," Sports Traditional Ice Hockey Sim ",E,Sega
Eternal Darkness Sanitys Requiem,92,8.8," Action Adventure Horror ",M,Nintendo
Eternal Sonata,79,7.9," Role-Playing Console-style RPG Console-style RPG Japanese-Style ",T,Namco Bandai Games America Namco Bandai Games
ETHER One,82,6.9," General Adventure General 3D First-Person ",E10+,White Paper Games
Etherlords,77,7.7," Strategy Turn-Based General General ",T,Fishtank Interactive
Etherlords II,78,7.9," Strategy Turn-Based Fantasy Fantasy ",T,Strategy First
Etrian Mystery Dungeon,77,7.8," Role-Playing General Roguelike ",E10+,Atlus
Etrian Odyssey,75,8.3," Role-Playing First-Person First-Person Western-Style ",T,Atlus
Etrian Odyssey 2 Untold The Fafnir Knight,82,8," Role-Playing Japanese-Style Western-Style ",T,Atlus
Etrian Odyssey II Heroes of Lagaard,82,8.3," Role-Playing First-Person First-Person Western-Style ",E10+,Atlus
Etrian Odyssey III The Drowned City,77,8.2," Role-Playing First-Person First-Person Western-Style ",E10+,Atlus
Etrian Odyssey IV Legends of the Titan,84,8.4," Role-Playing First-Person First-Person General Western-Style ",T,Atlus
Etrian Odyssey Untold The Millennium Girl,80,8.2," Role-Playing First-Person First-Person Western-Style ",T,Atlus
Etrian Odyssey V Beyond the Myth,81,8.2," Role-Playing Japanese-Style ",T,Atlus Co. Atlus
Euro Truck Simulator 2,79,8.7," Simulation General General Vehicle Civilian ",NOT PROVIDED,SCS Software
Europa 1400 The Guild,82,8.6," Strategy Real-Time Historic General Historic ",T,JoWooD Entertainment AG
Europa Universalis,86,7.9," Strategy General General ",E,Strategy First
Europa Universalis II,87,8.7," Strategy Real-Time Historic General Historic ",E,Strategy First
Europa Universalis III,83,8.4," Strategy General General ",E,Paradox Interactive
Europa Universalis IV,87,8.8," Strategy Real-Time Historic General Historic ",T,Paradox Interactive
Europa Universalis IV Conquest of Paradise,81,7.7," Strategy Real-Time Historic General Historic ",NOT PROVIDED,Paradox Interactive
Europa Universalis IV Wealth of Nations,84,8.4," Strategy Real-Time General Historic ",NOT PROVIDED,Paradox Interactive
Europa Universalis Rome  Vae Victis,79,8.6," Strategy General General ",E10+,Paradox Interactive
EVE Online Special Edition,88,7.7," Role-Playing Miscellaneous Massively Multiplayer Online Sci-Fi Compilation ",T,Atari Atari SA
Event0,75,6.6," Adventure 3D First-Person ",NOT PROVIDED,Ocelot Society
Ever Oasis,76,8.5," Role-Playing Action RPG ",E10+,Nintendo
EverQuest,85,8.3," Role-Playing Massively Multiplayer Online Fantasy Fantasy Massively Multiplayer ",T,Sony Online Entertainment
EverQuest Gates of Discord,85,6.8," Role-Playing Massively Multiplayer Online Fantasy Fantasy Massively Multiplayer ",T,Sony Online Entertainment
EverQuest II,83,7.4," Role-Playing Massively Multiplayer Online Fantasy Fantasy Massively Multiplayer ",T,Sony Online Entertainment
EverQuest II Desert of Flames,79,7.8," Role-Playing Massively Multiplayer Online Fantasy Fantasy Massively Multiplayer ",T,Sony Online Entertainment
EverQuest II Echoes of Faydwer,83,8.5," Role-Playing Massively Multiplayer Online Fantasy Fantasy Massively Multiplayer ",T,Sony Online Entertainment
EverQuest II Kingdom of Sky,76,8," Role-Playing Massively Multiplayer Online Fantasy Fantasy Massively Multiplayer ",T,Sony Online Entertainment
EverQuest II Rise of Kunark,83,8," Role-Playing Massively Multiplayer Online Fantasy Fantasy Massively Multiplayer ",T,Sony Online Entertainment
EverQuest Lost Dungeons of Norrath,79,7," Role-Playing Massively Multiplayer Online Fantasy Fantasy Massively Multiplayer ",T,Sony Online Entertainment
EverQuest Omens of War,86,7.7," Role-Playing Massively Multiplayer Online Fantasy Fantasy Massively Multiplayer ",T,Sony Online Entertainment
EverQuest Online Adventures Frontiers,77,8.1," Role-Playing Massively Multiplayer Online Fantasy ",T,Sony Online Entertainment
EverQuest The Planes of Power,81,8.2," Role-Playing Massively Multiplayer Online Fantasy Fantasy Massively Multiplayer ",T,Sony Online Entertainment
EverQuest The Ruins of Kunark,86,8.5," Role-Playing Massively Multiplayer Online Fantasy Massively Multiplayer ",T,Sony Online Entertainment
EverQuest The Scars of Velious,82,8.1," Role-Playing Massively Multiplayer Online Fantasy Fantasy Massively Multiplayer ",T,Sony Online Entertainment
EverQuest The Shadows of Luclin,83,7.2," Role-Playing Massively Multiplayer Online Fantasy Massively Multiplayer ",T,Sony Online Entertainment
EVERSPACE,79,7.7," Action General Action Adventure Open-World ",NOT PROVIDED,ROCKFISH Games
Every Extend Extra,74,7.3," Action Shooter Static Shooter Static Shoot-'Em-Up Top-Down ",E,Buena Vista Games
Every Extend Extra Extreme,78,7.2," Action Shooter Static Shooter Static ",E,Q Entertainment
Everybodys Golf,77,8," Traditional Sports Individual Golf Arcade ",E,SCEA Sony Interactive Entertainment
Everybodys Gone to the Rapture,78,6.5," Action General General Adventure 3D First-Person ",M,SCEA
Everyday Shooter,77,7.6," Action Shooter Shooter Static Static Shoot-'Em-Up Top-Down ",NOT PROVIDED,NOT PROVIDED
EVERYTHING,80,6.9," Action Adventure Adventure General ",E,David OReilly
Evil Genius,75,8.3," Strategy Real-Time Modern General Modern ",T,VU Games
Evoland 2 A Slight Case of Spacetime Continuum Disorder,74,7.7," Adventure General ",NOT PROVIDED,Shiro Games
Evolve,77,4.3," Action Shooter First-Person Sci-Fi Arcade ",M,2K Games
Excitebike 64,88,8," Driving Racing Motorcycle Motocross ",E,Nintendo
Excitebots Trick Racing,77,8.6," Driving Racing Arcade General Arcade Automobile ",E,Nintendo
Exit,77,7.7," Miscellaneous Puzzle General General Puzzle Puzzle ",E,Ubisoft
Expeditions Conquistador,77,8.2," Role-Playing General General ",NOT PROVIDED,Logic Artists
Extreme Exorcism,79,6.5," Action Platformer 2D ",E10+,Ripstone
ExtremeG,82,8.4," Driving Racing Futuristic ",E,Acclaim
EyeToy Kinetic,78,8.3," Sports General ",E,SCEA
EyeToy Play,80,7.5," Miscellaneous General ",E,SCEA
EyeToy Play 2,78,7.1," Miscellaneous General ",E10+,SCEA
F1 2001,79,6.9," Simulation Driving Racing Formula One Formula One Automobile ",E,EA Sports
F1 2002,81,6.4," Driving Racing Formula One ",E,EA Sports
F1 2010,84,6.6," Driving Racing Simulation Formula One Formula One Automobile ",E,Codemasters
F1 2011,82,7.1," Driving Racing Simulation Formula One Formula One Automobile ",E,Codemasters
F1 2012,80,7.1," Driving Racing Simulation Formula One Formula One Automobile ",E,Codemasters
F1 2013,77,6.4," Driving Racing Simulation Formula One Formula One Automobile ",E,Codemasters
F1 2016,85,7.8," Racing Simulation Automobile ",E,Codemasters
F1 2017,84,6," Racing Simulation Automobile ",E,Deep Silver
F1 Challenge 9902,91,8," Driving Racing Formula One Formula One ",E,Electronic Arts
F355 Challenge,85,8.1," Driving Racing GT / Street ",E,Acclaim
Fable,85,8.4," Role-Playing Action RPG ",M,Microsoft Game Studios
Fable II,89,6.5," Role-Playing Action RPG Action RPG ",M,Microsoft Game Studios
Fable III,80,6.5," Role-Playing Console-style RPG Console-style RPG Japanese-Style ",M,Microsoft Game Studios
Fable III Traitors Keep Quest Pack,77,7.8," Role-Playing Console-style RPG Console-style RPG Japanese-Style ",M,Microsoft Game Studios
Fable The Lost Chapters,83,8.6," Role-Playing Action RPG Action RPG ",M,Microsoft Game Studios
Faeria,80,7.7," Miscellaneous Board / Card Game ",NOT PROVIDED,Abrakam SA
Falcon 40,85,8," Simulation Flight Modern Jet Modern Jet Combat ",T,Atari MicroProse
Falcon 40 Allied Force,90,8.6," Simulation Flight Modern Jet Modern Jet Combat ",T,Graphsim Entertainment
Fallen Enchantress Legendary Heroes,80,7.7," Strategy Turn-Based Fantasy General 4X ",NOT PROVIDED,Stardock
Fallout,89,8.8," Role-Playing First-Person First-Person PC-style RPG PC-style RPG Western-Style ",M,Interplay
Fallout 2,86,9.1," Role-Playing First-Person First-Person PC-style RPG Western-Style ",M,Interplay
Fallout 3,91,7.9," Role-Playing First-Person First-Person Western-Style ",M,Bethesda Softworks
Fallout 3 Broken Steel,82,8.4," Role-Playing First-Person First-Person General Western-Style ",M,Bethesda Softworks
Fallout 3 Point Lookout,79,7.8," Role-Playing First-Person First-Person General Western-Style ",M,Bethesda Softworks
Fallout 3 The Pitt,78,6.8," Role-Playing First-Person First-Person Western-Style ",M,Bethesda Softworks
Fallout 4,84,5.4," General Role-Playing Western-Style ",M,Bethesda Softworks
Fallout 4 Far Harbor,78,6.4," Role-Playing Western-Style ",M,Bethesda Softworks
Fallout 4 NukaWorld,74,5.4," Role-Playing Western-Style ",NOT PROVIDED,Bethesda Softworks
Fallout New Vegas,82,7.8," Role-Playing Action RPG First-Person First-Person Western-Style ",M,Bethesda Softworks
Fallout New Vegas  Old World Blues,82,7.8," Role-Playing First-Person First-Person Western-Style ",M,Bethesda Softworks
Fallout Tactics Brotherhood of Steel,82,7.8," Role-Playing Action RPG Action RPG ",M,Interplay
Fantasia Music Evolved,77,7.5," Action Miscellaneous Rhythm Music Music ",E10+,Disney Interactive Studios
Far Cry,89,8.1," Action Shooter First-Person Modern Shooter Modern Arcade ",M,Ubisoft
Far Cry 2,85,5.8," Action Shooter First-Person Modern Shooter Modern Arcade ",M,Ubisoft
Far Cry 3,91,8.6," Action Shooter First-Person Modern Shooter Modern Arcade ",M,Ubisoft
Far Cry 3 Blood Dragon,80,8.4," Action Shooter First-Person Modern Shooter Modern Arcade ",M,Ubisoft
Far Cry 4,80,6.7," Action Shooter First-Person Modern Arcade ",M,Ubisoft
Far Cry 4 Valley of the Yetis,76,7.6," Action Shooter First-Person Arcade ",M,Ubisoft
Far Cry Instincts,85,5.7," Action Shooter First-Person Modern ",M,Ubisoft
Far Cry Instincts Evolution,78,6.3," Action Shooter First-Person Modern ",M,Ubisoft
Far Cry Instincts Predator,78,6.2," Action Shooter First-Person Modern Shooter Modern Arcade ",M,Ubisoft
Far Cry Primal,77,6.4," Action Shooter First-Person Arcade ",M,Ubisoft
FAST Racing NEO,81,8.6," Driving Racing Arcade Futuristic ",E,Shin'en
Fast RMX,81,7.9," Racing Arcade Futuristic ",E,Shin'en
Fat Princess,79,8.4," Action General General ",T,SCEA
Fatal Frame,77,8.6," Action Adventure Horror ",T,Tecmo
Fatal Frame II Crimson Butterfly,81,9.1," Action Adventure Horror ",M,Tecmo
Fatal Frame II Crimson Butterfly Directors Cut,84,8.4," Action Adventure Horror ",M,Tecmo
Fatal Frame III The Tormented,78,9," Action Adventure Horror ",M,Tecmo
FATE,80,8.1," Role-Playing Action RPG Third-Person Action RPG ",E10+,Encore Software Inc. WildTangent
FEAR,85,7.4," Action Shooter First-Person Modern Shooter Modern Arcade ",M,Vivendi Games
FEAR 2 Project Origin,77,8," Action Shooter First-Person Modern Shooter Modern Arcade ",M,Warner Bros. Interactive Entertainment
FEAR 3,75,7," Action Shooter First-Person Sci-Fi Modern Sci-Fi Shooter Arcade ",M,Warner Bros. Interactive Entertainment
Fear Effect 2 Retro Helix,84,8.9," Action Adventure Horror ",M,Eidos Interactive
FEAR Extraction Point,75,7.5," Action Shooter First-Person Modern Shooter Modern Arcade ",M,Vivendi Games
Feel the Magic XYXX,75,8.2," Miscellaneous Puzzle General General Puzzle Puzzle ",T,Sega
Fenix Rage,75,6.9," Action Platformer 2D ",NOT PROVIDED,Reverb Triple XP
Fez,91,6.6," Action Platformer 2D Platformer 2D ",E,Trapdoor
Field Commander,77,7.8," Strategy Turn-Based Sci-Fi Sci-Fi General ",T,Sony Online Entertainment
Fieldrunners,81,7.1," Strategy Real-Time General General Defense ",E10+,Subatomic Studios
FIFA 07 Soccer,78,7.8," Sports Traditional Soccer Sim Sim Team ",E,EA Sports
FIFA 14,84,4.2," Ice Hockey Sim Sports Traditional Team Soccer Sim Sim ",E,EA Sports
FIFA 15,82,5.4," Sports Traditional Team Soccer Sim ",E,Electronic Arts
FIFA 16,81,4.4," Sports Team Soccer Sim ",E,EA Sports
FIFA 17,84,4.1," Sports Team Soccer Sim ",E,Electronic Arts EA Sports
FIFA 18,81,4.6," Sports Team Soccer Sim ",E,Electronic Arts
FIFA 2001,83,7.4," Sports Traditional Soccer Sim ",E,Electronic Arts
FIFA 2001 Major League Soccer,85,7.8," Sports Traditional Soccer Sim ",E,EA Sports
FIFA Manager 10,75,5.5," Sports Traditional Soccer Management Management Team ",E,Electronic Arts
FIFA Soccer,79,7.1," Sports Traditional Team Soccer Sim Sim ",E,EA Sports
FIFA Soccer 06,77,7.7," Sports Traditional Soccer Sim Sim Team ",E,EA Sports
FIFA Soccer 08,77,6.2," Sports Traditional Soccer Sim Sim Team ",E,EA Sports
FIFA Soccer 09,77,6.8," Sports Traditional Team Soccer Sim Sim ",E,EA Sports
FIFA Soccer 09 AllPlay,80,8.4," Sports Traditional Soccer Sim Sim Team ",E,EA Sports
FIFA Soccer 10,83,7.9," Sports Traditional Team Soccer Sim Sim ",E,Electronic Arts
FIFA Soccer 11,83,7.6," Sports Traditional Team Soccer Sim Sim ",E,EA Sports
FIFA Soccer 12,90,7.2," Sports Traditional Team Soccer Sim Sim ",E,Electronic Arts
FIFA Soccer 13,86,6.6," Sports Traditional Team Soccer Sim Sim ",E,EA Sports
FIFA Soccer 2002,77,7.7," Sports Traditional Soccer Sim Sim Team ",E,EA Sports
FIFA Soccer 2003,83,6.8," Sports Traditional Soccer Sim Sim Team ",E,EA Sports
FIFA Soccer 2004,77,6.5," Sports Traditional Soccer Sim Sim Team ",E,EA Sports
FIFA Soccer 2005,77,6.6," Sports Traditional Soccer Sim Sim Team ",E,EA Sports
FIFA Street,77,6.7," Sports Traditional Team Soccer Sim Arcade ",E,EA Sports
FIFA World Cup Germany 2006,76,6.2," Sports Traditional Soccer Sim ",E,Electronic Arts
Fight Night 2004,85,8.7," Sports Traditional Boxing ",T,EA Sports
Fight Night Champion,86,7.4," Sports Traditional Boxing Boxing Individual Combat Boxing / Martial Arts ",M,EA Sports
Fight Night Round 2,87,7.9," Sports Traditional Boxing ",T,EA Sports
Fight Night Round 3,84,8.2," Sports Traditional Boxing ",T,EA Sports
Fight Night Round 4,88,7.6," Sports Traditional Boxing Boxing Individual Combat Boxing / Martial Arts ",T,EA Sports
Figment,77,7.9," Action General ",NOT PROVIDED,Bedtime Digital Games
Final Fantasy Anthology,80,8.3," Role-Playing Console-style RPG ",T,Square EA
Final Fantasy Chronicles,89,9.1," Role-Playing Console-style RPG ",T,Square EA
Final Fantasy Crystal Chronicles,80,8.1," Role-Playing Action RPG ",T,Nintendo
Final Fantasy Crystal Chronicles Echoes of Time,75,7.3," Role-Playing Action RPG Action RPG ",E10+,Square Enix
Final Fantasy Crystal Chronicles My Life as a King,80,7," Strategy Tycoon Management Tycoon Business / Tycoon ",E,Square Enix
Final Fantasy Crystal Chronicles Ring of Fates,77,7.1," Role-Playing Action RPG Action RPG ",E10+,Square Enix
Final Fantasy Fables Chocobo Tales,75,7.4," Role-Playing Action Adventure Console-style RPG General Console-style RPG Japanese-Style ",E,Square Enix
Final Fantasy Fables Chocobos Dungeon,76,8," Role-Playing Action RPG Action RPG ",E10+,Square Enix
Final Fantasy I & II Dawn of Souls,79,6.8," Role-Playing Console-style RPG ",E,Nintendo
Final Fantasy III,77,7.1," Role-Playing Console-style RPG Console-style RPG Japanese-Style ",E10+,Square Enix
Final Fantasy IV,85,7.7," Role-Playing Console-style RPG Console-style RPG Japanese-Style ",E10+,Square Enix
Final Fantasy IV Advance,85,7.4," Role-Playing Console-style RPG ",E10+,Nintendo
Final Fantasy IV The Complete Collection,77,7.5," Role-Playing Miscellaneous General Console-style RPG Compilation Compilation ",E10+,Square Enix
Final Fantasy IX,84,8.6," Role-Playing Japanese-Style ",NOT PROVIDED,Square Enix
Final Fantasy Origins,79,7.9," Role-Playing Console-style RPG ",T,Square Enix
Final Fantasy Tactics,83,8.3," Strategy Turn-Based Fantasy ",T,SCEA
Final Fantasy Tactics A2 Grimoire of the Rift,80,7.1," Strategy Turn-Based Fantasy Fantasy Tactics ",E10+,Square Enix
Final Fantasy Tactics Advance,87,7.8," Strategy Turn-Based Fantasy ",E,Nintendo
Final Fantasy Tactics The War of the Lions,88,8," Strategy Turn-Based Fantasy Fantasy Tactics ",T,Square Enix
Final Fantasy V Advance,83,7.2," Role-Playing Console-style RPG ",E,Nintendo
Final Fantasy VI Advance,92,8.5," Role-Playing Console-style RPG ",E10+,Nintendo
Final Fantasy VII,92,9.2," Role-Playing Console-style RPG ",T,SCEA
Final Fantasy VIII,90,8.6," Role-Playing Console-style RPG ",T,Square EA
Final Fantasy X,92,8.8," Role-Playing Console-style RPG ",T,Square EA
Final Fantasy X  X2 HD Remaster,83,8.5," Miscellaneous Compilation ",T,Square Enix
Final Fantasy X2,85,6.6," Role-Playing Console-style RPG ",T,Square Enix
Final Fantasy XI,85,6.9," Role-Playing Massively Multiplayer Online Fantasy ",T,SCEA
Final Fantasy XI Chains of Promathia,77,8.2," Role-Playing Massively Multiplayer Online Fantasy ",T,Square Enix
Final Fantasy XI Treasures of Aht Urhgan,83,7.6," Role-Playing Massively Multiplayer Online Fantasy Fantasy Massively Multiplayer ",T,Square Enix
Final Fantasy XII,92,7.7," Role-Playing Console-style RPG ",T,Square Enix
Final Fantasy XII Revenant Wings,81,6.1," Strategy Real-Time Fantasy Fantasy Tactics ",E10+,Square Enix
Final Fantasy XII The Zodiac Age,86,7.9," Role-Playing Japanese-Style ",T,Square Enix
Final Fantasy XIII,82,6.3," Role-Playing Console-style RPG Console-style RPG Japanese-Style ",T,Square Enix
Final Fantasy XIII2,79,6.6," Role-Playing Console-style RPG Console-style RPG Japanese-Style ",T,Square Enix
Final Fantasy XIV Heavensward,86,7.7," Massively Multiplayer Online Fantasy Role-Playing Massively Multiplayer ",T,Square Enix
Final Fantasy XIV Online A Realm Reborn,78,5.7," Role-Playing Massively Multiplayer Online Massively Multiplayer Fantasy Fantasy ",T,Square Enix
Final Fantasy XIV Stormblood,89,7.6," Role-Playing Massively Multiplayer ",T,Square Enix
Final Fantasy XV,81,7.6," Role-Playing Action RPG Action RPG ",T,Square Enix
Final Fight Double Impact,77,7.9," Action Miscellaneous Beat-'Em-Up Compilation ",T,Capcom
Final Fight One,82,7.8," Action Beat-'Em-Up ",E,Capcom
Fire Emblem,88,9.2," Strategy Turn-Based Fantasy ",E,Nintendo
Fire Emblem Awakening,92,9.1," Strategy Turn-Based Fantasy Fantasy Tactics ",T,Nintendo
Fire Emblem Echoes Shadows of Valentia,81,8.4," Strategy Turn-Based Tactics ",T,Nintendo
Fire Emblem Fates Birthright,86,7.3," Strategy Turn-Based Tactics ",T,Nintendo
Fire Emblem Fates Conquest,87,7.3," Fantasy Strategy Turn-Based Tactics ",T,Nintendo
Fire Emblem Fates Revelation,88,5.9," Strategy Turn-Based Tactics ",T,Nintendo
Fire Emblem Fates Special Edition,88,6.6," Strategy Turn-Based Tactics ",T,Nintendo
Fire Emblem Path of Radiance,85,8.9," Strategy Turn-Based Fantasy ",T,Nintendo
Fire Emblem Radiant Dawn,78,8.7," Strategy Turn-Based Fantasy Fantasy Tactics ",E10+,Nintendo
Fire Emblem Shadow Dragon,81,7," Strategy Turn-Based Fantasy Fantasy Tactics ",E10+,Nintendo
Fire Emblem The Sacred Stones,85,9.1," Strategy Turn-Based Fantasy ",E,Nintendo
Fire Emblem Warriors,75,8.1," Action Beat-'Em-Up 3D ",T,Koei Tecmo Games
Fire Pro Wrestling,80,0," Action Fighting Wrestling ",T,Bam Entertainment
Fire Pro Wrestling Returns,78,8.6," Action Fighting Wrestling ",T,Agetec Inc.
Firewatch,81,6.9," General Adventure 3D First-Person ",NOT PROVIDED,Panic Inc.
Five Nights at Freddys,78,7.1," Action Adventure Adventure General Survival ",NOT PROVIDED,Scott Cawthon animdude
Flanker 20,81,0," Simulation Flight Modern Jet Modern Jet Combat ",E,SSI
FlatOut 2,76,8.7," Driving Racing Demolition Derby Arcade Demolition Derby Automobile ",T,Vivendi Games
FlatOut Head On,74,8.2," Driving Racing Other Other Arcade ",T,Empire Interactive
FlatOut Ultimate Carnage,80,8.7," Driving Racing Demolition Derby Arcade Demolition Derby Automobile ",T,Empire Interactive
Flight Simulator 2002,90,8.4," Simulation Flight Civilian Plane Civilian ",E,Microsoft Game Studios
Flight Simulator X Acceleration,82,7.3," Simulation Flight Modern Jet Combat ",E10+,Microsoft Game Studios
Flinthook,80,7.1," Action Platformer 2D ",NOT PROVIDED,Tribute Games
Flipnote Studio,93,8.5," Miscellaneous General Application ",NOT PROVIDED,Nintendo
flower,87,8.6," Miscellaneous General General ",E,SCEA
Fluidity,86,8.6," Action Platformer 2D 3D Platformer 2D ",E,Nintendo
Fluidity Spin Cycle,78,6.6," Action Platformer 2D Platformer 2D ",E,Nintendo
FLYN,80,8.2," Miscellaneous Puzzle General Puzzle General ",NOT PROVIDED,Ankama
Flywrench,78,3.5," Action General ",E,Messhof
Folklore,75,8.2," Action Adventure Fantasy General Fantasy ",T,SCEA
Football Manager 2010,87,9," Sports Traditional Team Soccer Management Management ",E,Sega
Football Manager 2011,85,8.3," Sports Traditional Team Soccer Management Management ",E,Sega
Football Manager 2012,84,8," Sports Traditional Team Football Soccer Management Management ",E,Sega
Football Manager 2013,86,6.8," Sports Traditional Team Soccer Management Management ",NOT PROVIDED,Sega
Football Manager 2014,85,5.6," Sports Traditional Team Soccer Management Management ",E,Sega
Football Manager 2015,80,6.1," Sports Traditional Team Soccer Management ",NOT PROVIDED,SegaSoft Sega
Football Manager 2016,81,6.9," Sports Team Soccer Management ",E,Sports Interactive
Football Manager 2017,80,4.9," Sports Team Soccer Management ",E,Sega
Football Manager 2018,80,7.4," Sports Football Sim Team ",NOT PROVIDED,Sega
Football Manager Live,82,3.1," Sports Traditional Team Soccer Management Management ",NOT PROVIDED,Sega
For Honor,76,5.3," Action Adventure General ",M,Ubisoft
FORM,81,0," Adventure General ",NOT PROVIDED,Charm Games
Forma8,78,4.9," Action Platformer 2D ",E10+,MixedBag Srl
Forsaken 64,75,7.7," Action Shooter First-Person Sci-Fi ",T,Acclaim
Forza Horizon,85,8.4," Simulation Driving Racing GT / Street GT / Street Automobile ",T,Microsoft Game Studios Turn 10
Forza Horizon 2,86,8.3," Driving Racing Simulation GT / Street Automobile ",E10+,Microsoft Game Studios
Forza Horizon 2 Storm Island,82,7.4," Driving GT / Street Racing Simulation Automobile ",E10+,Microsoft Game Studios
Forza Horizon 3,86,6.7," Racing Simulation Automobile ",E,Microsoft Game Studios
Forza Horizon 3 Blizzard Mountain,87,7.6," Racing Simulation Automobile ",NOT PROVIDED,Microsoft Game Studios
Forza Horizon 3 Hot Wheels,87,7.2," Racing Simulation Automobile ",NOT PROVIDED,Microsoft Game Studios
Forza Horizon Rally Expansion Pack,76,6.1," Simulation Driving Racing GT / Street GT / Street Automobile ",T,Microsoft Game Studios
Forza Motorsport,92,7.6," Driving Racing GT / Street ",E,Microsoft Game Studios
Forza Motorsport 2,90,8.3," Simulation Driving Racing GT / Street GT / Street Automobile ",E,Microsoft Game Studios
Forza Motorsport 3,92,8.1," Simulation Driving Racing GT / Street GT / Street Automobile ",E,Microsoft Game Studios
Forza Motorsport 4,91,8.2," Simulation Driving Racing GT / Street GT / Street Automobile ",E,Microsoft Game Studios
Forza Motorsport 5,79,6," GT / Street Driving Racing Simulation GT / Street Automobile ",E,Microsoft Game Studios
Forza Motorsport 6,87,7.7," Driving GT / Street Racing Simulation Automobile ",E,Microsoft Game Studios
Forza Motorsport 7,82,3.5," Racing Simulation Automobile ",E,Microsoft Game Studios
FRACT OSC,75,6.1," Miscellaneous Puzzle General Puzzle Puzzle General ",NOT PROVIDED,Phosfiend Systems
Fractured Space,79,8.2," Strategy Real-Time Sci-Fi General ",NOT PROVIDED,Edge Case Games
Free Realms,79,6.4," Role-Playing Massively Multiplayer Online Fantasy Fantasy Massively Multiplayer ",E10+,Sony Online Entertainment
Freedom Fighters,80,8.4," Action Shooter Third-Person Tactical Modern Shooter Modern ",T,EA Games
Freedom Force,90,7.8," Role-Playing Action RPG Action RPG ",T,Crave
Freedom Force vs The 3rd Reich,86,7.7," Role-Playing PC-style RPG PC-style RPG Western-Style ",T,Sierra Entertainment
Freedom Planet,83,8.2," Action Platformer 2D ",E10+,GalaxyTrail
Freekstyle,81,7.4," Sports Alternative Biking ",E,EA Sports
Freelancer,85,9," Simulation Sci-Fi Small Spaceship Small Spaceship Combat Space ",T,Microsoft Game Studios
FreeSpace 2,91,8.8," Simulation Sci-Fi Small Spaceship Small Spaceship Combat Space ",E,Interplay
Frequency,83,9," Miscellaneous Rhythm Music ",E,SCEA
Fritz 8 Deluxe,80,7.8," Miscellaneous Board Games Board Games Board / Card Game ",E,Viva Media Viva Media LLC
From Dust,76,4.8," Strategy Adventure General General General ",E10+,Ubisoft
Front Mission 4,75,8.6," Strategy Turn-Based Sci-Fi ",T,Square Enix
Frontlines Fuel of War,75,7.8," Action Shooter First-Person Sci-Fi Sci-Fi Shooter Arcade ",T,THQ
Frozen Cortex,79,6.5," General Sports Team Futuristic ",NOT PROVIDED,Mode 7 Games
Frozen Synapse,85,7.7," Strategy Turn-Based General Modern Tactics ",NOT PROVIDED,Matrix Games
Frozen Synapse Prime,84,7.2," General Strategy Turn-Based Sci-Fi Modern Tactics ",T,Double Eleven
FRU,84,6.8," Miscellaneous Puzzle Action ",E,Through Games
FTL Faster Than Light,84,8.4," Simulation Sci-Fi Space Small Spaceship Small Spaceship Combat ",NOT PROVIDED,Subset Games
Full House Poker,77,6.7," Miscellaneous Parlor Gambling Gambling ",T,Microsoft Game Studios
Full Spectrum Warrior,80,7," Strategy Real-Time Military General Military ",M,THQ
Full Throttle,86,8.8," Adventure General ",NOT PROVIDED,LucasArts
Full Throttle Remastered,77,7.5," Adventure Point-and-Click ",NOT PROVIDED,Double Fine Productions
Fur Fighters,80,8.4," Action Shooter Third-Person Fantasy ",T,Acclaim
Furi,77,7.6," Action Fighting 3D ",M,The Game Bakers
FZero GP Legend,77,8.1," Driving Racing Futuristic ",E,Nintendo
FZero GX,89,8.6," Driving Racing Futuristic ",T,Nintendo
FZero Maximum Velocity,86,8.1," Driving Racing Futuristic ",E,Nintendo
FZero X,85,8.7," Driving Racing Futuristic ",E,Nintendo
